Subj,Type,ROI,Phase,beta,var,TRAIT,STATE
MAX101,safe,ACC,early,-0.008450,0.001131,27,22
MAX101,safe,ACC,late,-0.042602,0.001172,27,22
MAX101,safe,Left AntDorsal Insula,early,-0.048800,0.000889,27,22
MAX101,safe,Left AntDorsal Insula,late,-0.085116,0.000897,27,22
MAX101,safe,Left AntVentral Insula,early,-0.129348,0.001908,27,22
MAX101,safe,Left AntVentral Insula,late,-0.097133,0.001897,27,22
MAX101,safe,Left Anterior  Putamen,early,-0.014730,0.001828,27,22
MAX101,safe,Left Anterior  Putamen,late,-0.055093,0.001814,27,22
MAX101,safe,Left Anterior Caudate,early,-0.072463,0.001580,27,22
MAX101,safe,Left Anterior Caudate,late,-0.046795,0.001569,27,22
MAX101,safe,Left Anterior MCC,early,0.049450,0.002319,27,22
MAX101,safe,Left Anterior MCC,late,0.058584,0.002325,27,22
MAX101,safe,Left Anterior Thalamus,early,-0.029048,0.001478,27,22
MAX101,safe,Left Anterior Thalamus,late,-0.050460,0.001478,27,22
MAX101,safe,Left BLBM Amygdala,early,0.234907,0.008284,27,22
MAX101,safe,Left BLBM Amygdala,late,0.391471,0.008191,27,22
MAX101,safe,Left BST,early,-0.097350,0.013533,27,22
MAX101,safe,Left BST,late,-0.227459,0.013394,27,22
MAX101,safe,Left CeMe Amygdala,early,0.038540,0.009387,27,22
MAX101,safe,Left CeMe Amygdala,late,-0.012469,0.009300,27,22
MAX101,safe,Left Hypothalamus,early,0.089946,0.009537,27,22
MAX101,safe,Left Hypothalamus,late,0.003893,0.009433,27,22
MAX101,safe,Left MidPost Insula,early,-0.055507,0.000711,27,22
MAX101,safe,Left MidPost Insula,late,-0.024215,0.000714,27,22
MAX101,safe,Left PAG,early,-0.141444,0.008820,27,22
MAX101,safe,Left PAG,late,-0.261725,0.008724,27,22
MAX101,safe,Left Posterior Caudate,early,0.002628,0.001789,27,22
MAX101,safe,Left Posterior Caudate,late,0.028679,0.001778,27,22
MAX101,safe,Left Posterior Putamen,early,0.109683,0.002688,27,22
MAX101,safe,Left Posterior Putamen,late,0.048610,0.002694,27,22
MAX101,safe,Left Posterior Thalamus,early,-0.030811,0.001480,27,22
MAX101,safe,Left Posterior Thalamus,late,-0.054257,0.001475,27,22
MAX101,safe,Left Ventral Striatum,early,-0.025751,0.001511,27,22
MAX101,safe,Left Ventral Striatum,late,-0.105064,0.001500,27,22
MAX101,safe,PCC,early,0.063308,0.007642,27,22
MAX101,safe,PCC,late,0.043216,0.007748,27,22
MAX101,safe,PCC/precuneus,early,-0.052385,0.015532,27,22
MAX101,safe,PCC/precuneus,late,0.118490,0.015831,27,22
MAX101,safe,Right AntDorsal Insula,early,-0.003302,0.001177,27,22
MAX101,safe,Right AntDorsal Insula,late,-0.040429,0.001194,27,22
MAX101,safe,Right AntVentral Insula,early,-0.130399,0.001328,27,22
MAX101,safe,Right AntVentral Insula,late,-0.098632,0.001325,27,22
MAX101,safe,Right Anterior Caudate,early,-0.069109,0.001136,27,22
MAX101,safe,Right Anterior Caudate,late,-0.043608,0.001133,27,22
MAX101,safe,Right Anterior MCC,early,-0.063773,0.001683,27,22
MAX101,safe,Right Anterior MCC,late,-0.062450,0.001691,27,22
MAX101,safe,Right Anterior Putamen,early,-0.041058,0.001319,27,22
MAX101,safe,Right Anterior Putamen,late,-0.045186,0.001311,27,22
MAX101,safe,Right Anterior Thalamus,early,-0.020529,0.001375,27,22
MAX101,safe,Right Anterior Thalamus,late,-0.051772,0.001375,27,22
MAX101,safe,Right BLBM Amygdala,early,-0.255690,0.019609,27,22
MAX101,safe,Right BLBM Amygdala,late,0.132104,0.019413,27,22
MAX101,safe,Right BST,early,0.021080,0.027879,27,22
MAX101,safe,Right BST,late,-0.267821,0.027637,27,22
MAX101,safe,Right CeMe Amygdala,early,0.012890,0.006260,27,22
MAX101,safe,Right CeMe Amygdala,late,-0.033836,0.006197,27,22
MAX101,safe,Right Hypothalamus,early,0.161166,0.010478,27,22
MAX101,safe,Right Hypothalamus,late,0.155084,0.010372,27,22
MAX101,safe,Right MidPost Insula,early,-0.003933,0.000761,27,22
MAX101,safe,Right MidPost Insula,late,0.045688,0.000764,27,22
MAX101,safe,Right PAG,early,-0.080578,0.012214,27,22
MAX101,safe,Right PAG,late,-0.151042,0.012080,27,22
MAX101,safe,Right Posterior Caudate,early,-0.098642,0.003336,27,22
MAX101,safe,Right Posterior Caudate,late,-0.118554,0.003333,27,22
MAX101,safe,Right Posterior Putamen,early,-0.016766,0.001439,27,22
MAX101,safe,Right Posterior Putamen,late,-0.019772,0.001439,27,22
MAX101,safe,Right Posterior Thalamus,early,-0.034172,0.000989,27,22
MAX101,safe,Right Posterior Thalamus,late,-0.071865,0.000983,27,22
MAX101,safe,Right Ventral Striatum,early,-0.110124,0.001808,27,22
