Type,ROI,Time,mean,sem,lower_bound,upper_bound
safe,ACC,0.0000,-0.0177,0.0105,-0.0385,0.0030
safe,ACC,1.2500,-0.0423,0.0129,-0.0679,-0.0167
safe,ACC,2.5000,-0.0273,0.0172,-0.0614,0.0068
safe,ACC,3.7500,-0.0157,0.0180,-0.0514,0.0200
safe,ACC,5.0000,-0.0095,0.0187,-0.0465,0.0276
safe,ACC,6.2500,-0.0271,0.0182,-0.0631,0.0089
safe,ACC,7.5000,-0.0374,0.0169,-0.0710,-0.0039
safe,ACC,8.7500,-0.0426,0.0180,-0.0782,-0.0069
safe,ACC,10.0000,-0.0368,0.0170,-0.0706,-0.0030
safe,ACC,11.2500,-0.0365,0.0165,-0.0692,-0.0038
safe,ACC,12.5000,-0.0285,0.0157,-0.0596,0.0026
safe,ACC,13.7500,-0.0246,0.0166,-0.0575,0.0084
safe,ACC,15.0000,-0.0171,0.0179,-0.0526,0.0183
safe,ACC,16.2500,0.0163,0.0177,-0.0188,0.0514
safe,ACC,17.5000,0.0131,0.0170,-0.0206,0.0468
safe,ACC,18.7500,-0.0075,0.0149,-0.0370,0.0220
safe,ACC,20.0000,0.0165,0.0116,-0.0064,0.0395
safe,Left AntDorsal Insula,0.0000,-0.0288,0.0113,-0.0512,-0.0064
safe,Left AntDorsal Insula,1.2500,-0.0187,0.0129,-0.0442,0.0069
safe,Left AntDorsal Insula,2.5000,0.0131,0.0117,-0.0102,0.0363
safe,Left AntDorsal Insula,3.7500,0.0659,0.0129,0.0402,0.0915
safe,Left AntDorsal Insula,5.0000,0.0800,0.0128,0.0545,0.1055
safe,Left AntDorsal Insula,6.2500,0.0495,0.0135,0.0228,0.0762
safe,Left AntDorsal Insula,7.5000,0.0360,0.0128,0.0106,0.0614
safe,Left AntDorsal Insula,8.7500,0.0118,0.0132,-0.0143,0.0380
safe,Left AntDorsal Insula,10.0000,-0.0002,0.0136,-0.0272,0.0267
safe,Left AntDorsal Insula,11.2500,0.0040,0.0131,-0.0221,0.0300
safe,Left AntDorsal Insula,12.5000,-0.0054,0.0129,-0.0311,0.0202
safe,Left AntDorsal Insula,13.7500,-0.0091,0.0128,-0.0345,0.0163
safe,Left AntDorsal Insula,15.0000,-0.0002,0.0129,-0.0258,0.0253
safe,Left AntDorsal Insula,16.2500,-0.0061,0.0136,-0.0331,0.0208
safe,Left AntDorsal Insula,17.5000,-0.0097,0.0132,-0.0359,0.0164
safe,Left AntDorsal Insula,18.7500,0.0003,0.0122,-0.0240,0.0246
