Type,ROI,Time,mean,sem,lower_bound,upper_bound
safe,ACC,0.0000,-0.0284,0.0123,-0.0529,-0.0038
safe,ACC,1.2500,-0.0419,0.0155,-0.0728,-0.0110
safe,ACC,2.5000,-0.0473,0.0165,-0.0802,-0.0143
safe,ACC,3.7500,-0.0354,0.0175,-0.0702,-0.0006
safe,ACC,5.0000,-0.0392,0.0181,-0.0753,-0.0031
safe,ACC,6.2500,-0.0549,0.0192,-0.0932,-0.0166
safe,ACC,7.5000,-0.0623,0.0198,-0.1018,-0.0228
safe,ACC,8.7500,-0.0578,0.0202,-0.0980,-0.0177
safe,ACC,10.0000,-0.0715,0.0209,-0.1132,-0.0299
safe,ACC,11.2500,-0.0558,0.0210,-0.0976,-0.0141
safe,ACC,12.5000,-0.0418,0.0191,-0.0798,-0.0038
safe,ACC,13.7500,-0.0059,0.0200,-0.0458,0.0340
safe,ACC,15.0000,-0.0070,0.0205,-0.0478,0.0338
safe,ACC,16.2500,-0.0256,0.0198,-0.0650,0.0137
safe,ACC,17.5000,-0.0179,0.0187,-0.0552,0.0195
safe,ACC,18.7500,-0.0443,0.0178,-0.0798,-0.0088
safe,ACC,20.0000,-0.0030,0.0145,-0.0319,0.0260
safe,Left AntDorsal Insula,0.0000,-0.0392,0.0147,-0.0686,-0.0098
safe,Left AntDorsal Insula,1.2500,-0.0653,0.0181,-0.1013,-0.0293
safe,Left AntDorsal Insula,2.5000,-0.0364,0.0187,-0.0737,0.0010
safe,Left AntDorsal Insula,3.7500,0.0255,0.0180,-0.0104,0.0613
safe,Left AntDorsal Insula,5.0000,0.0365,0.0181,0.0005,0.0725
safe,Left AntDorsal Insula,6.2500,0.0136,0.0178,-0.0219,0.0491
safe,Left AntDorsal Insula,7.5000,-0.0210,0.0183,-0.0574,0.0154
safe,Left AntDorsal Insula,8.7500,-0.0383,0.0176,-0.0734,-0.0031
safe,Left AntDorsal Insula,10.0000,-0.0417,0.0179,-0.0774,-0.0060
safe,Left AntDorsal Insula,11.2500,-0.0412,0.0191,-0.0792,-0.0031
safe,Left AntDorsal Insula,12.5000,-0.0297,0.0175,-0.0646,0.0051
safe,Left AntDorsal Insula,13.7500,-0.0431,0.0186,-0.0802,-0.0060
safe,Left AntDorsal Insula,15.0000,-0.0305,0.0204,-0.0712,0.0101
safe,Left AntDorsal Insula,16.2500,-0.0651,0.0197,-0.1043,-0.0260
safe,Left AntDorsal Insula,17.5000,-0.0583,0.0201,-0.0984,-0.0182
safe,Left AntDorsal Insula,18.7500,-0.0450,0.0172,-0.0793,-0.0108
safe,Left AntDorsal Insula,20.0000,0.0264,0.0130,0.0006,0.0523
safe,Left AntVentral Insula,0.0000,-0.0443,0.0178,-0.0797,-0.0089
safe,Left AntVentral Insula,1.2500,-0.0564,0.0251,-0.1065,-0.0064
safe,Left AntVentral Insula,2.5000,-0.0366,0.0254,-0.0871,0.0139
safe,Left AntVentral Insula,3.7500,-0.0019,0.0251,-0.0520,0.0481
safe,Left AntVentral Insula,5.0000,0.0193,0.0274,-0.0352,0.0739
safe,Left AntVentral Insula,6.2500,0.0243,0.0243,-0.0240,0.0726
safe,Left AntVentral Insula,7.5000,0.0207,0.0281,-0.0353,0.0766
safe,Left AntVentral Insula,8.7500,-0.0278,0.0251,-0.0779,0.0223
safe,Left AntVentral Insula,10.0000,-0.0373,0.0297,-0.0965,0.0219
safe,Left AntVentral Insula,11.2500,0.0135,0.0269,-0.0402,0.0671
safe,Left AntVentral Insula,12.5000,0.0000,0.0258,-0.0514,0.0514
safe,Left AntVentral Insula,13.7500,0.0194,0.0269,-0.0342,0.0730
safe,Left AntVentral Insula,15.0000,0.0145,0.0263,-0.0379,0.0669
safe,Left AntVentral Insula,16.2500,-0.0163,0.0287,-0.0734,0.0408
safe,Left AntVentral Insula,17.5000,-0.0086,0.0275,-0.0634,0.0462
safe,Left AntVentral Insula,18.7500,0.0009,0.0277,-0.0542,0.0560
safe,Left AntVentral Insula,20.0000,0.0822,0.0229,0.0366,0.1278
safe,Left Anterior  Putamen,0.0000,-0.0480,0.0152,-0.0782,-0.0178
safe,Left Anterior  Putamen,1.2500,-0.0690,0.0226,-0.1140,-0.0241
safe,Left Anterior  Putamen,2.5000,-0.0951,0.0238,-0.1425,-0.0477
safe,Left Anterior  Putamen,3.7500,-0.0728,0.0234,-0.1194,-0.0262
safe,Left Anterior  Putamen,5.0000,-0.0271,0.0241,-0.0751,0.0210
safe,Left Anterior  Putamen,6.2500,-0.0275,0.0258,-0.0790,0.0239
safe,Left Anterior  Putamen,7.5000,-0.0444,0.0233,-0.0907,0.0020
safe,Left Anterior  Putamen,8.7500,-0.0774,0.0246,-0.1263,-0.0285
