signNearest,signNear,signFar,magNearest,magNear,magFar,signXmagNearest,signXmagNear,signXmagFar,v_motion,onset_block,offset_block,shock,Pair,Subject,Group,ROI
0.00426834,0.0185827,-0.0135067,0.0111,0.00869684,0.033971,0.0325559,0.0266651,0.00929564,0.0137528,-0.0138022,0.349999,0.0851201,0,CON001,control,vmPFC
0.028956,-0.00765494,-0.00747229,-0.00501104,0.0403484,0.00199531,0.0238262,-0.0697419,0.0414221,-0.00317058,-0.290345,0.0133436,-0.5568,0,CON001,control,PCC1
-0.00169538,0.0593754,-0.00705953,-0.0416931,0.0728034,-0.0126407,0.0334042,0.0365447,0.0920405,0.035299,-0.0625417,-0.0142496,-1.21122,0,CON001,control,PCC2
0.0936433,0.03445,0.0232025,-0.0184533,0.0333966,0.0280479,0.0583534,-0.0345801,0.0314048,-0.0245348,0.371173,0.208392,0.0380153,0,CON001,control,rPAG1
0.0965716,0.0243793,0.00171976,-0.0259649,0.0197331,0.0175561,0.0052962,0.0195004,0.0476225,-0.0294257,0.148145,0.157301,0.388202,0,CON001,control,lPAG1
0.0218382,0.000703597,-0.0132798,0.0104786,-0.0104421,0.010508,-0.0594643,-0.00406158,0.0147828,-0.0191469,-0.110407,0.436608,0.652609,0,CON001,control,rvAI
-0.0077767,0.0490877,-0.0156751,-0.0126587,-0.0215431,0.0225377,-0.0598418,0.00086599,0.0134072,-0.0135626,0.0845592,0.27183,0.791671,0,CON001,control,rdAI
0.163089,0.106423,-0.0393875,0.00338565,0.00259298,0.0662757,-0.0575404,3.56888e-05,0.0794292,-0.0714822,1.22759,1.23009,1.11079,0,CON001,control,lvAI
0.0203641,0.0182487,-0.00956528,0.00315583,-0.0148923,0.0306174,-0.0381648,-0.0244082,0.00450086,-0.0229007,0.0699298,0.342201,0.683723,0,CON001,control,ldAI
-0.0233168,0.0333949,-0.00634676,-0.0522896,-0.0623683,0.000587273,0.0365705,0.00301093,0.00935951,-0.00788671,-0.177196,-0.0483666,0.304744,0,CON001,control,rPI
-0.000288889,0.0354257,-0.00919075,-0.0420303,-0.0110338,0.0291831,0.0158237,0.00560663,0.0028533,-0.00538177,0.0492075,-0.0262844,0.289097,0,CON001,control,lPI
