	Pair	ROI	Y
0	P00	17Networks_LH_VisCent_ExStr_1	0.369144
1	P01	17Networks_LH_VisCent_ExStr_1	0.6733620000000001
2	P02	17Networks_LH_VisCent_ExStr_1	0.481789
3	P03	17Networks_LH_VisCent_ExStr_1	0.08364100000000008
4	P04	17Networks_LH_VisCent_ExStr_1	0.3655829999999999
5	P05	17Networks_LH_VisCent_ExStr_1	-0.252657
6	P06	17Networks_LH_VisCent_ExStr_1	-0.10987999999999998
7	P07	17Networks_LH_VisCent_ExStr_1	-0.12526900000000002
8	P08	17Networks_LH_VisCent_ExStr_1	0.24140499999999998
9	P09	17Networks_LH_VisCent_ExStr_1	-0.881159
10	P10	17Networks_LH_VisCent_ExStr_1	-0.6397590000000001
11	P11	17Networks_LH_VisCent_ExStr_1	0.5004219999999999
12	P12	17Networks_LH_VisCent_ExStr_1	-0.231835
13	P13	17Networks_LH_VisCent_ExStr_1	-0.11807199999999995
14	P14	17Networks_LH_VisCent_ExStr_1	-0.3944980000000001
15	P15	17Networks_LH_VisCent_ExStr_1	0.4222760000000001
16	P16	17Networks_LH_VisCent_ExStr_1	-0.43755599999999994
17	P17	17Networks_LH_VisCent_ExStr_1	0.029413000000000022
18	P18	17Networks_LH_VisCent_ExStr_1	0.43048329999999996
19	P19	17Networks_LH_VisCent_ExStr_1	-0.005177999999999905
20	P20	17Networks_LH_VisCent_ExStr_1	-0.021069000000000004
21	P21	17Networks_LH_VisCent_ExStr_1	-0.14732199999999995
22	P22	17Networks_LH_VisCent_ExStr_1	0.13317400000000001
23	P23	17Networks_LH_VisCent_ExStr_1	0.145593
24	P24	17Networks_LH_VisCent_ExStr_1	0.008899999999999908
25	P25	17Networks_LH_VisCent_ExStr_1	-0.6137840000000001
26	P26	17Networks_LH_VisCent_ExStr_1	-0.11501899999999998
27	P27	17Networks_LH_VisCent_ExStr_1	0.8319641
28	P28	17Networks_LH_VisCent_ExStr_1	-0.012473000000000067
29	P29	17Networks_LH_VisCent_ExStr_1	0.355654
30	P30	17Networks_LH_VisCent_ExStr_1	0.22883700000000007
31	P31	17Networks_LH_VisCent_ExStr_1	-0.226952
32	P32	17Networks_LH_VisCent_ExStr_1	0.051734999999999975
33	P33	17Networks_LH_VisCent_ExStr_1	-0.34045400000000003
34	P34	17Networks_LH_VisCent_ExStr_1	0.23700900000000003
35	P35	17Networks_LH_VisCent_ExStr_1	-0.329475
36	P36	17Networks_LH_VisCent_ExStr_1	-0.06766500000000003
37	P37	17Networks_LH_VisCent_ExStr_1	0.242647
38	P38	17Networks_LH_VisCent_ExStr_1	0.53471
39	P39	17Networks_LH_VisCent_ExStr_1	0.012335999999999903
40	P40	17Networks_LH_VisCent_ExStr_1	-0.40201
41	P41	17Networks_LH_VisCent_ExStr_1	-0.4743109
42	P42	17Networks_LH_VisCent_ExStr_1	0.384699
43	P43	17Networks_LH_VisCent_ExStr_1	0.5749565999999999
