Subj	y	SCR	STATEmean	STATEdiff	TRAITmean	TRAITdiff
P00	0.5542	-2.5740	-1.2133	-0.1442	-0.9884	-0.0559
P01	-0.6739	1.6323	-0.4193	0.4962	-0.4076	3.1276
P02	-0.6410	0.9146	-0.4987	0.3895	0.2378	0.2979
P03	0.1634	1.7759	-1.6103	-0.0375	-1.5692	1.0053
P04	0.1892	-0.0391	-0.2605	0.7097	-0.2140	-0.0559
P05	0.0886	0.9762	0.3747	-0.5711	0.3023	-0.0559
P06	-0.1960	0.5624	0.0571	-0.9981	-0.0849	-0.0559
P07	0.1315	-0.6671	-1.2133	0.2828	-1.6338	-0.0559
P08	0.2196	-0.1444	-0.9751	-0.2509	-0.9884	0.6516
P09	-0.0921	-1.3188	-1.0545	0.7097	-1.3111	1.7127
P10	-0.2266	-0.1661	-0.1811	0.1760	-0.4721	-2.1782
P11	0.7751	-0.8778	-0.1811	1.8838	-1.1175	-0.0559
P12	-0.5902	-0.1850	-0.7369	-0.9981	-0.6657	-0.4096
P13	0.2316	-2.3502	-1.6897	0.0693	-1.7628	0.6516
P14	-0.1739	-0.4238	0.0571	-0.1442	-0.2140	-0.0559
P15	0.4681	-3.1927	0.9305	-0.6779	2.5610	-0.4096
P16	-0.1591	-0.3248	0.8511	0.7097	1.1412	-1.8244
P17	0.1242	0.3185	-0.6575	-0.4644	0.1087	-0.4096
P18	0.1850	1.9832	-0.1811	0.1760	-0.0849	-0.0559
P19	-0.3715	0.0673	0.7717	0.6030	1.0122	-0.4096
P20	0.9203	0.1030	2.9155	1.7771	0.6895	-0.7633
P21	0.3507	-1.2427	-0.1811	1.2434	0.8831	1.0053
P22	1.0191	0.4542	-1.2133	0.7097	-1.0529	0.2979
P23	-0.2409	0.0005	-0.7369	-0.1442	1.2058	-0.0559
P24	-0.0648	1.1478	1.2481	-3.2396	-0.8593	0.6516
P25	0.2831	0.3912	0.4541	-1.7453	-0.5367	-0.4096
P26	0.3959	1.1069	1.0893	-1.9588	0.2378	-0.4096
P27	-0.1924	1.0661	0.8511	-0.5711	-0.2140	-2.1782
P28	-0.2473	-1.3409	0.2159	-0.9981	0.9476	-0.0559
P29	0.5210	-0.9825	2.1215	-0.5711	2.1093	-0.0559
P30	1.2098	1.6545	1.8833	0.3895	1.9157	0.2979
P31	0.0666	0.2019	0.1365	-0.2509	0.1087	-0.4096
P32	0.3198	-0.9233	1.4863	0.4962	0.8186	-0.0559
P33	-0.3318	-0.0543	-1.1339	-0.0375	-0.9884	0.6516
P34	-0.2530	2.5686	-0.3399	0.8165	-0.1494	-0.4096
P35	0.6182	0.9370	0.6129	-0.2509	-0.6657	-0.4096
P36	0.2171	0.8106	2.3597	1.4569	-0.2785	1.7127
P37	-0.0964	-0.1138	0.2953	-1.9588	2.3674	-1.4707
P38	-0.2128	1.2269	-1.0545	-0.5711	0.4959	1.0053
P40	-0.3340	-1.2059	0.0571	0.0693	1.5285	-0.4096
P41	0.3096	-0.4708	-0.8163	-0.8914	-0.3431	-0.0559
P42	0.8455	-1.3943	0.6129	0.8165	1.4639	1.3590
P43	0.2448	1.1833	0.7717	-1.1048	0.4314	-0.0559
P45	0.3649	-2.3147	-0.2605	0.9232	-0.4721	-0.0559
P46	0.4117	-3.5198	1.0893	-0.8914	0.5604	-1.4707
P47	0.5216	-0.9378	-0.4193	-0.9981	-0.1494	0.2979
P48	0.1643	-0.1669	-0.5781	-0.7846	-0.4076	-1.8244
P49	0.6435	-2.5701	-1.5309	0.0693	-1.4401	0.2979
P50	-0.5817	0.6750	-0.1811	1.4569	-0.6012	-0.7633
P51	-0.0318	-0.0438	-0.7369	0.0693	0.1087	-0.4096
P53	-0.4833	1.5011	0.3747	-0.1442	0.3668	-1.1170
P54	0.0660	-0.2584	-0.3399	0.1760	-0.7948	1.0053
P55	-0.6266	1.9931	-0.5781	0.7097	0.3668	0.2979
P56	1.4846	2.4738	0.6923	2.6310	0.4959	1.0053
P57	0.0035	0.7497	-0.1017	0.4962	-1.1820	1.0053
P58	-1.2111	-1.4995	-1.4515	0.3895	-1.1175	-1.4707
P59	0.3226	1.4892	0.2159	0.4962	0.3023	2.0665
