Pair	ROI	Y
P00	17Networks_LH_VisCent_ExStr_1	0.3691
P01	17Networks_LH_VisCent_ExStr_1	0.6734
P02	17Networks_LH_VisCent_ExStr_1	0.4818
P03	17Networks_LH_VisCent_ExStr_1	0.0836
P04	17Networks_LH_VisCent_ExStr_1	0.3656
P05	17Networks_LH_VisCent_ExStr_1	-0.2527
P06	17Networks_LH_VisCent_ExStr_1	-0.1099
P07	17Networks_LH_VisCent_ExStr_1	-0.1253
P08	17Networks_LH_VisCent_ExStr_1	0.2414
P09	17Networks_LH_VisCent_ExStr_1	-0.8812
P10	17Networks_LH_VisCent_ExStr_1	-0.6398
P11	17Networks_LH_VisCent_ExStr_1	0.5004
P12	17Networks_LH_VisCent_ExStr_1	-0.2318
P13	17Networks_LH_VisCent_ExStr_1	-0.1181
P14	17Networks_LH_VisCent_ExStr_1	-0.3945
P15	17Networks_LH_VisCent_ExStr_1	0.4223
P16	17Networks_LH_VisCent_ExStr_1	-0.4376
P17	17Networks_LH_VisCent_ExStr_1	0.0294
P18	17Networks_LH_VisCent_ExStr_1	0.4305
P19	17Networks_LH_VisCent_ExStr_1	-0.0052
P20	17Networks_LH_VisCent_ExStr_1	-0.0211
P21	17Networks_LH_VisCent_ExStr_1	-0.1473
P22	17Networks_LH_VisCent_ExStr_1	0.1332
P23	17Networks_LH_VisCent_ExStr_1	0.1456
P24	17Networks_LH_VisCent_ExStr_1	0.0089
P25	17Networks_LH_VisCent_ExStr_1	-0.6138
P26	17Networks_LH_VisCent_ExStr_1	-0.1150
P27	17Networks_LH_VisCent_ExStr_1	0.8320
P28	17Networks_LH_VisCent_ExStr_1	-0.0125
P29	17Networks_LH_VisCent_ExStr_1	0.3557
P30	17Networks_LH_VisCent_ExStr_1	0.2288
P31	17Networks_LH_VisCent_ExStr_1	-0.2270
P32	17Networks_LH_VisCent_ExStr_1	0.0517
P33	17Networks_LH_VisCent_ExStr_1	-0.3405
P34	17Networks_LH_VisCent_ExStr_1	0.2370
P35	17Networks_LH_VisCent_ExStr_1	-0.3295
P36	17Networks_LH_VisCent_ExStr_1	-0.0677
P37	17Networks_LH_VisCent_ExStr_1	0.2426
P38	17Networks_LH_VisCent_ExStr_1	0.5347
P39	17Networks_LH_VisCent_ExStr_1	0.0123
P40	17Networks_LH_VisCent_ExStr_1	-0.4020
P41	17Networks_LH_VisCent_ExStr_1	-0.4743
P42	17Networks_LH_VisCent_ExStr_1	0.3847
P43	17Networks_LH_VisCent_ExStr_1	0.5750
P44	17Networks_LH_VisCent_ExStr_1	-0.1757
P45	17Networks_LH_VisCent_ExStr_1	-0.0638
P46	17Networks_LH_VisCent_ExStr_1	-0.3522
P47	17Networks_LH_VisCent_ExStr_1	0.1390
P48	17Networks_LH_VisCent_ExStr_1	1.2468
P49	17Networks_LH_VisCent_ExStr_1	0.3349
P50	17Networks_LH_VisCent_ExStr_1	0.0805
P51	17Networks_LH_VisCent_ExStr_1	-0.2185
P52	17Networks_LH_VisCent_ExStr_1	-0.1376
P53	17Networks_LH_VisCent_ExStr_1	0.0293
P54	17Networks_LH_VisCent_ExStr_1	0.2910
P55	17Networks_LH_VisCent_ExStr_1	1.5040
P56	17Networks_LH_VisCent_ExStr_1	-0.3377
P57	17Networks_LH_VisCent_ExStr_1	0.1054
P58	17Networks_LH_VisCent_ExStr_1	0.7485
